month_of_year,day_of_month,question
1,1,What is one goal you have for this year?
1,2,What is a skill you'd like to learn?
1,3,What is a book you'd like to read?
1,4,What is something you're looking forward to this month?
1,5,What is a small act of kindness you can do today?
1,6,What is something you learned recently?
1,7,What is a place you'd like to visit?
1,8,What is a positive memory you have?
1,9,What is a challenge you're currently facing?
1,10,What is a way you can improve your daily routine?
1,11,What is something that made you smile today?
1,12,What is a fear you'd like to overcome?
1,13,What is a piece of advice you received that stuck with you?
1,14,What is something you're grateful for today?
1,15,What is a way you can show yourself self-love?
1,16,What is a song that always makes you feel good?
1,17,What is a quality you admire in others?
1,18,What is something you're proud of accomplishing?
1,19,What is a new recipe you'd like to try?
1,20,What is a way you can step outside your comfort zone?
1,21,What is a small thing that brings you joy?
1,22,What is a way you can be more present in the moment?
1,23,What is a healthy habit you'd like to develop?
1,24,What is a way you can express your creativity?
1,25,What is something you're looking forward to this week?
1,26,What is a way you can connect with nature today?
1,27,What is a lesson you learned from a mistake?
1,28,What is a way you can help someone else today?
1,29,What is something you're passionate about?
1,30,What is a way you can relax and de-stress?
1,31,What is a positive affirmation you can tell yourself?
2,1,What is something you appreciate about yourself?
2,2,What is a way you can make someone else's day better?
2,3,What is a skill you'd like to improve?
2,4,What is something you're curious about?
2,5,What is a way you can practice mindfulness?
2,6,What is a goal you're working towards?
2,7,What is a way you can express your gratitude?
2,8,What is something you're learning?
2,9,What is a way you can challenge yourself?
2,10,What is something that inspires you?
2,11,What is a way you can show kindness to yourself?
2,12,What is something you're looking forward to this month?
2,13,What is a positive quality you see in someone you love?
2,14,What does love mean to you? (Valentine's Day)
2,15,What is a way you can strengthen a relationship?
2,16,What is something you admire about a friend?
2,17,What is a way you can support someone you care about?
2,18,What is a lesson you learned from a past relationship?
2,19,What is a way you can improve your communication skills?
2,20,What is something you appreciate about your family?
2,21,What is a way you can show appreciation to a loved one?
2,22,What is a positive memory you have with a loved one?
2,23,What is a way you can create stronger bonds with others?
2,24,What is something you're grateful for in your relationships?
2,25,What is a way you can resolve conflict peacefully?
2,26,What is something you've learned about relationships?
2,27,What is a way you can express your feelings to someone?
2,28,What is a quality you look for in a friend?
2,29,What is a unique memory from a past year? (Leap Year)
3,1,What is a new beginning you'd like to embrace?
3,2,What is a way you can bring more positivity into your life?
3,3,What is something you're passionate about pursuing?
3,4,What is a way you can connect with your inner self?
3,5,What is a goal you'd like to achieve this spring?
3,6,What is a way you can let go of something that's holding you back?
3,7,What is something you're looking forward to this season?
3,8,What is a way you can celebrate your strengths?
3,9,What is something you're learning about yourself?
3,10,What is a way you can cultivate self-compassion?
3,11,What is a positive change you'd like to make in your life?
3,12,What is a way you can nurture your mental health?
3,13,What is something you're grateful for in your life right now?
3,14,What is a way you can express your authentic self?
3,15,What is a dream you'd like to pursue?
3,16,What is a way you can embrace change and growth?
3,17,What is a way you can celebrate your heritage or culture?
3,18,What is a way you can contribute to your community?
3,19,What is something you're looking forward to in the coming months?
3,20,What is a way you can connect with your spirituality?
3,21,What is a way you can honor the changing seasons?
3,22,What is a way you can bring more balance into your life?
3,23,What is something you're learning about the world around you?
3,24,What is a way you can express your appreciation for nature?
3,25,What is a way you can create a more peaceful environment for yourself?
3,26,What is something you're learning about your own resilience?
3,27,What is a way you can find joy in the present moment?
3,28,What is a way you can cultivate more self-awareness?
3,29,What is something you're learning about your own values?
3,30,What is a way you can connect with your intuition?
3,31,What is a way you can express your gratitude for your experiences?
4,1,What is a new project or idea you'd like to start?
4,2,What is a way you can bring more creativity into your life?
4,3,What is something you're learning about your own potential?
4,4,What is a way you can embrace new opportunities?
4,5,What is a goal you'd like to achieve this spring?
4,6,What is a way you can let go of self-doubt?
